,Unnamed: 0,Unnamed: 0.1,count,hate_speech,offensive_language,neither,label,sentence1,H_yb,H_yx,correct_yx,predicted_label,PVI
0,0,0,3,0,0,3,2, ,2.5622959239099776,0.491595876211077,True,2,2.070700047698901
1,1,1,3,0,3,0,1,hoe,0.3655191666162353,0.037636570539489766,True,1,0.3278825960767455
2,2,2,3,0,3,0,1,fuck  bitch,0.3655191666162353,0.03731638370962653,True,1,0.32820278290660876
3,3,3,3,0,2,1,1, ,0.3655191666162353,2.0461587054817643,False,2,-1.6806395388655289
4,4,4,6,0,6,0,1,bitch,0.3655191666162353,0.017536071373581406,True,1,0.34798309524265386
5,5,5,3,1,2,0,1,fucking  hoes,0.3655191666162353,0.03851427146021008,True,1,0.3270048951560252
6,6,6,3,0,3,0,1,bitch,0.3655191666162353,0.017536071373581406,True,1,0.34798309524265386
7,7,7,3,0,3,0,1,bitches,0.3655191666162353,0.015830950842534195,True,1,0.34968821577370107
8,8,8,3,0,3,0,1,bitch,0.3655191666162353,0.017536071373581406,True,1,0.34798309524265386
9,9,9,3,1,2,0,1, ,0.3655191666162353,2.0461587054817643,False,2,-1.6806395388655289
10,10,10,3,0,3,0,1,bitch,0.3655191666162353,0.017536071373581406,True,1,0.34798309524265386
11,11,11,3,0,3,0,1,bitch,0.3655191666162353,0.017536071373581406,True,1,0.34798309524265386
12,12,12,3,0,2,1,1,hoes,0.3655191666162353,0.0217646280322571,True,1,0.3437545385839782
13,13,13,3,0,3,0,1,bitches,0.3655191666162353,0.015830950842534195,True,1,0.34968821577370107
14,14,14,3,1,2,0,1,bitch,0.3655191666162353,0.017536071373581406,True,1,0.34798309524265386
15,15,15,3,0,3,0,1,bitch nigga,0.3655191666162353,0.09711900233811151,True,1,0.2684001642781238
16,16,16,3,0,3,0,1,bitch,0.3655191666162353,0.017536071373581406,True,1,0.34798309524265386
17,17,17,3,1,2,0,1,bitch,0.3655191666162353,0.017536071373581406,True,1,0.34798309524265386
18,18,18,3,0,3,0,1,bitches,0.3655191666162353,0.015830950842534195,True,1,0.34968821577370107
19,19,19,3,0,3,0,1,bitch,0.3655191666162353,0.017536071373581406,True,1,0.34798309524265386
20,20,20,3,0,3,0,1,bitch,0.3655191666162353,0.017536071373581406,True,1,0.34798309524265386
21,21,21,3,0,3,0,1,bitch,0.3655191666162353,0.017536071373581406,True,1,0.34798309524265386
22,22,22,3,0,3,0,1,hoes,0.3655191666162353,0.0217646280322571,True,1,0.3437545385839782
23,23,23,3,0,3,0,1,fuck   bitch            fuck,0.3655191666162353,0.06571667038999829,True,1,0.299802496226237
24,24,24,3,0,3,0,1,bitch,0.3655191666162353,0.017536071373581406,True,1,0.34798309524265386
25,25,25,3,0,2,1,1,pussy,0.3655191666162353,0.01645409830028677,True,1,0.3490650683159485
26,26,26,3,0,3,0,1,hoe,0.3655191666162353,0.037636570539489766,True,1,0.3278825960767455
27,27,27,3,0,3,0,1,pussy        pussy,0.3655191666162353,0.01685077104995195,True,1,0.3486683955662833
28,28,28,3,0,3,0,1,bitch  fuck,0.3655191666162353,0.03007198642236388,True,1,0.33544718019387143
29,29,29,3,0,3,0,1,bitch,0.3655191666162353,0.017536071373581406,True,1,0.34798309524265386
30,30,30,3,0,3,0,1,bitch   bitch pussy,0.3655191666162353,0.019582247320386728,True,1,0.3459369192958486
31,31,31,3,0,3,0,1,bitches,0.3655191666162353,0.015830950842534195,True,1,0.34968821577370107
32,32,32,3,0,3,0,1,pussy nigga,0.3655191666162353,0.08642410685471402,True,1,0.27909505976152127
