,Unnamed: 0,Unnamed: 0.1,count,hate_speech,offensive_language,neither,label,sentence1,H_yb,H_yx,correct_yx,PVI
0,0,0,3,0,0,3,2, ,2.6191191322852676,0.5170419081882369,True,2.1020772240970307
1,1,1,3,0,3,0,1,hoe,0.35531577944716053,0.05037843930669391,True,0.30493734014046664
2,2,2,3,0,3,0,1,fuck  bitch,0.35531577944716053,0.04282576213498434,True,0.3124900173121762
3,3,3,3,0,2,1,1, ,0.35531577944716053,1.962113935453467,False,-1.6067981560063065
4,4,4,6,0,6,0,1,bitch,0.35531577944716053,0.015726800338552532,True,0.33958897910860797
5,5,5,3,1,2,0,1,fucking  hoes,0.35531577944716053,0.06752453110544664,True,0.2877912483417139
6,6,6,3,0,3,0,1,bitch,0.35531577944716053,0.015726800338552532,True,0.33958897910860797
7,7,7,3,0,3,0,1,bitches,0.35531577944716053,0.015450116447544213,True,0.3398656629996163
8,8,8,3,0,3,0,1,bitch,0.35531577944716053,0.015726800338552532,True,0.33958897910860797
9,9,9,3,1,2,0,1, ,0.35531577944716053,1.962113935453467,False,-1.6067981560063065
10,10,10,3,0,3,0,1,bitch,0.35531577944716053,0.015726800338552532,True,0.33958897910860797
11,11,11,3,0,3,0,1,bitch,0.35531577944716053,0.015726800338552532,True,0.33958897910860797
12,12,12,3,0,2,1,1,hoes,0.35531577944716053,0.02359259261500301,True,0.3317231868321575
13,13,13,3,0,3,0,1,bitches,0.35531577944716053,0.015450116447544213,True,0.3398656629996163
14,14,14,3,1,2,0,1,bitch,0.35531577944716053,0.015726800338552532,True,0.33958897910860797
15,15,15,3,0,3,0,1,bitch nigga,0.35531577944716053,0.16071565717796552,True,0.19460012226919501
16,16,16,3,0,3,0,1,bitch,0.35531577944716053,0.015726800338552532,True,0.33958897910860797
17,17,17,3,1,2,0,1,bitch,0.35531577944716053,0.015726800338552532,True,0.33958897910860797
18,18,18,3,0,3,0,1,bitches,0.35531577944716053,0.015450116447544213,True,0.3398656629996163
19,19,19,3,0,3,0,1,bitch,0.35531577944716053,0.015726800338552532,True,0.33958897910860797
20,20,20,3,0,3,0,1,bitch,0.35531577944716053,0.015726800338552532,True,0.33958897910860797
