,Unnamed: 0,Unnamed: 0.1,count,hate_speech,offensive_language,neither,label,sentence1,H_yb,H_yx,correct_yx,PVI
0,0,0,3,0,0,3,2, ,2.748903812243346,0.6374017157362566,True,2.111502096507089
1,1,1,3,0,3,0,1,hoe,0.30721350593344615,0.006544918650073551,True,0.3006685872833726
2,2,2,3,0,3,0,1,fuck  bitch,0.30721350593344615,0.020794283150402982,True,0.28641922278304316
3,3,3,3,0,2,1,1, ,0.30721350593344615,1.6418458294355935,False,-1.3346323235021473
4,4,4,6,0,6,0,1,bitch,0.30721350593344615,0.010970934022762037,True,0.2962425719106841
5,5,5,3,1,2,0,1,fucking  hoes,0.30721350593344615,0.030115449347690365,True,0.2770980565857558
6,6,6,3,0,3,0,1,bitch,0.30721350593344615,0.010970934022762037,True,0.2962425719106841
7,7,7,3,0,3,0,1,bitches,0.30721350593344615,0.006483156613885228,True,0.30073034931956094
8,8,8,3,0,3,0,1,bitch,0.30721350593344615,0.010970934022762037,True,0.2962425719106841
9,9,9,3,1,2,0,1, ,0.30721350593344615,1.6418458294355935,False,-1.3346323235021473
10,10,10,3,0,3,0,1,bitch,0.30721350593344615,0.010970934022762037,True,0.2962425719106841
11,11,11,3,0,3,0,1,bitch,0.30721350593344615,0.010970934022762037,True,0.2962425719106841
12,12,12,3,0,2,1,1,hoes,0.30721350593344615,0.02492794760480302,True,0.2822855583286431
13,13,13,3,0,3,0,1,bitches,0.30721350593344615,0.006483156613885228,True,0.30073034931956094
14,14,14,3,1,2,0,1,bitch,0.30721350593344615,0.010970934022762037,True,0.2962425719106841
15,15,15,3,0,3,0,1,bitch nigga,0.30721350593344615,0.08960777949765429,True,0.21760572643579185
16,16,16,3,0,3,0,1,bitch,0.30721350593344615,0.010970934022762037,True,0.2962425719106841
17,17,17,3,1,2,0,1,bitch,0.30721350593344615,0.010970934022762037,True,0.2962425719106841
18,18,18,3,0,3,0,1,bitches,0.30721350593344615,0.006483156613885228,True,0.30073034931956094
19,19,19,3,0,3,0,1,bitch,0.30721350593344615,0.010970934022762037,True,0.2962425719106841
20,20,20,3,0,3,0,1,bitch,0.30721350593344615,0.010970934022762037,True,0.2962425719106841
21,21,21,3,0,3,0,1,bitch,0.30721350593344615,0.010970934022762037,True,0.2962425719106841
22,22,22,3,0,3,0,1,hoes,0.30721350593344615,0.02492794760480302,True,0.2822855583286431
23,23,23,3,0,3,0,1,fuck   bitch            fuck,0.30721350593344615,0.058422726950912066,True,0.2487907789825341
24,24,24,3,0,3,0,1,bitch,0.30721350593344615,0.010970934022762037,True,0.2962425719106841
25,25,25,3,0,2,1,1,pussy,0.30721350593344615,0.005929316836953162,True,0.301284189096493
26,26,26,3,0,3,0,1,hoe,0.30721350593344615,0.006544918650073551,True,0.3006685872833726
27,27,27,3,0,3,0,1,pussy        pussy,0.30721350593344615,0.013511862336835337,True,0.29370164359661083
28,28,28,3,0,3,0,1,bitch  fuck,0.30721350593344615,0.030734784622201285,True,0.27647872131124485
29,29,29,3,0,3,0,1,bitch,0.30721350593344615,0.010970934022762037,True,0.2962425719106841
30,30,30,3,0,3,0,1,bitch   bitch pussy,0.30721350593344615,0.024498522827990858,True,0.2827149831054553
31,31,31,3,0,3,0,1,bitches,0.30721350593344615,0.006483156613885228,True,0.30073034931956094
32,32,32,3,0,3,0,1,pussy nigga,0.30721350593344615,0.0949556150601451,True,0.21225789087330105
33,33,33,3,0,3,0,1,pussy,0.30721350593344615,0.005929316836953162,True,0.301284189096493
34,34,34,3,0,3,0,1,bitches,0.30721350593344615,0.006483156613885228,True,0.30073034931956094
35,35,35,3,0,3,0,1,bitch,0.30721350593344615,0.010970934022762037,True,0.2962425719106841
36,36,36,3,0,3,0,1,bitch,0.30721350593344615,0.010970934022762037,True,0.2962425719106841
37,37,37,3,0,3,0,1,bitches,0.30721350593344615,0.006483156613885228,True,0.30073034931956094
38,38,38,3,0,2,1,1,hoes,0.30721350593344615,0.02492794760480302,True,0.2822855583286431
39,39,39,3,0,3,0,1,hoes,0.30721350593344615,0.02492794760480302,True,0.2822855583286431
40,40,40,3,0,1,2,2,pussy,2.748903812243346,10.198670944577719,False,-7.449767132334373
41,41,41,3,0,3,0,1,hoes,0.30721350593344615,0.02492794760480302,True,0.2822855583286431
42,42,42,3,0,3,0,1,hoe,0.30721350593344615,0.006544918650073551,True,0.3006685872833726
43,43,43,3,0,3,0,1,hoes,0.30721350593344615,0.02492794760480302,True,0.2822855583286431
44,44,44,3,0,3,0,1,pussy,0.30721350593344615,0.005929316836953162,True,0.301284189096493
45,45,45,3,0,3,0,1,pussy,0.30721350593344615,0.005929316836953162,True,0.301284189096493
46,46,46,3,0,3,0,1,pussy,0.30721350593344615,0.005929316836953162,True,0.301284189096493
47,47,47,3,0,3,0,1,pussy     fucked,0.30721350593344615,0.01533365213698026,True,0.2918798537964659
48,48,48,3,0,3,0,1,bitches,0.30721350593344615,0.006483156613885228,True,0.30073034931956094
49,49,49,3,1,2,0,1,hoes  niggas,0.30721350593344615,0.10509113212070623,True,0.20212237381273992
50,50,50,3,1,2,0,1,niggas   bitches,0.30721350593344615,0.05786434247918648,True,0.24934916345425967
51,51,51,3,0,3,0,1,niggas   hoes      bitches,0.30721350593344615,0.053376832232325276,True,0.2538366737011209
52,52,52,3,0,3,0,1,bitches,0.30721350593344615,0.006483156613885228,True,0.30073034931956094
53,53,53,3,0,3,0,1,bitches,0.30721350593344615,0.006483156613885228,True,0.30073034931956094
54,54,54,3,0,2,1,1,hoes,0.30721350593344615,0.02492794760480302,True,0.2822855583286431
55,55,55,3,0,3,0,1,niggas      bitches,0.30721350593344615,0.0615458548892797,True,0.24566765104416644
56,56,56,3,0,3,0,1,bitch,0.30721350593344615,0.010970934022762037,True,0.2962425719106841
57,57,57,3,0,3,0,1,hoe,0.30721350593344615,0.006544918650073551,True,0.3006685872833726
58,58,58,3,0,3,0,1,bitch,0.30721350593344615,0.010970934022762037,True,0.2962425719106841
59,59,59,3,0,3,0,1,fuck  bitches,0.30721350593344615,0.01344355197756451,True,0.2937699539558816
60,60,60,3,0,2,1,1,bitch,0.30721350593344615,0.010970934022762037,True,0.2962425719106841
61,61,61,3,0,3,0,1,fucking fag,0.30721350593344615,0.6109964402669624,True,-0.3037829343335163
62,62,62,3,0,3,0,1,pussy             pussy,0.30721350593344615,0.01622284318409755,True,0.2909906627493486
63,63,63,3,0,0,3,2, ,2.748903812243346,0.6374017157362566,True,2.111502096507089
64,64,64,3,0,3,0,1,bitch   bitches,0.30721350593344615,0.009729286530918207,True,0.29748421940252795
65,65,65,3,0,3,0,1,bitch,0.30721350593344615,0.010970934022762037,True,0.2962425719106841
66,66,66,3,0,1,2,2, ,2.748903812243346,0.6374017157362566,True,2.111502096507089
67,67,67,3,0,1,2,2, ,2.748903812243346,0.6374017157362566,True,2.111502096507089
68,68,68,3,0,3,0,1,bitch fuck,0.30721350593344615,0.05583763983835179,True,0.2513758660950944
69,69,69,3,1,2,0,1,Fuck    bitch  niggah,0.30721350593344615,0.12462184935234406,True,0.1825916565811021
70,70,70,3,0,0,3,2, ,2.748903812243346,0.6374017157362566,True,2.111502096507089
71,71,71,3,0,3,0,1,bitch,0.30721350593344615,0.010970934022762037,True,0.2962425719106841
