,0,1,2
The,-0.7637011438483486,1.426859204323682,
sailors,,,
rode,,,
the,-0.4805481922766977,1.2145341701036043,
breeze,,,
clear,,,
of,-0.19512954123229995,2.3083067958272845,
rocks,,,
.,0.006486951066587903,0.037644821511625084,
weights,,,
made,,,
rope,,,
stretch,,,
over,,,
pulley,,,
mechanical,,,
doll,,,
wriggled,,,
itself,,,
loose,,,
If,,,
you,-1.4648067500647635,1.903079974904316,
had,,,
eaten,,,
more,,,
",",-0.7173147501931056,0.23752015053936146,
would,,,
want,,,
less,,,
As,,,
eat,,,
most,,,
least,,,
I,-0.9414493265664351,0.9894166414606858,
demand,,,
that,-0.3792441078830779,0.7542293876291098,
John,0.1683504234542894,1.1052259480592008,
he,,,
pays,,,
Mary,-0.7577712221407796,1.323793152560571,
listens,,,
to,-0.19511173665579654,1.972340766503254,
Grateful,,,
Dead,,,
she,,,
gets,,,
depressed,,,
angrier,,,
got,,,
looked,,,
at,,,
pictures,,,
higher,,,
stakes,,,
lower,,,
his,,,
expectations,,,
are,,,
Fred,,,
is,-0.5935005527522287,2.6591759213733512,
obnoxious,,,
attention,,,
should,,,
pay,,,
him,,,
was,-1.604978908859418,2.3117439140613265,
lots,,,
than,,,
people,,,
give,,,
beer,,,
get,,,
sick,,,
does,,,
Bill,,,
smoke,,,
Susan,,,
hates,,,
appear,,,
in,-0.05023932559289944,1.6182617817181228,
news,,,
embarrassed,,,
becomes,,,
Every,,,
senator,,,
seems,,,
become,,,
corrupt,,,
as,,,
talks,,,
lobbyists,,,
Who,,,
visit,,,
Sally,,,
because,,,
likes,,,
?,-0.9814964205964406,0.1431173327924327,
Marianne,,,
did,-1.6235370569597387,1.558205977111735,
not,,,
leave,,,
He,,,
could,,,
have,,,
been,,,
working,,,
can,,,
You,,,
will,0.26734133207371824,1.0148617466478993,
believe,,,
Bob,,,
has,,,
kissed,,,
said,,,
never,,,
my,,,
life,,,
seen,,,
a,-0.7411309172551095,1.112683619096102,
place,,,
like,,,
Bangor,,,
Mickey,,,
up,,,
it,,,
There,,,
tended,,,
be,-0.6926540550092085,1.8948880083883324,
lot,,,
discussion,,,
tried,,,
good,,,
boy,,,
eager,,,
We,,,
win,,,
box,,,
contained,,,
ball,,,
from,,,
tree,,,
tube,,,
escaped,,,
by,,,
gas,,,
Water,,,
bubbled,,,
out,,,
kettle,,,
tub,,,
leaked,,,
water,,,
What,,,
bottle,,,
fill,,,
whole,,,
tank,,,
fluid,,,
free,,,
lay,,,
owns,,,
book,-0.932296357710404,2.7366632361462346,
persuaded,,,
and,-0.039377771452658805,1.0958692897955635,
Sue,,,
stay,,,
Most,,,
probably,,,
consider,,,
even,,,
though,,,
courts,,,
didn,,,
',-0.06285833929528889,0.21311379701765176,
t,,,
actually,,,
find,,,
Klaus,,,
guilty,,,
murder,,,
beautifully,,,
plays,,,
violin,,,
Clearly,,,
immediately,,,
learn,,,
French,,,
perfectly,,,
gave,,,
men,,,
all,,,
went,,,
home,,,
They,,,
represented,,,
seriously,,,
dean,,,
genuine,,,
linguist,,,
Us,,,
love,,,
they,,,
It,,,
nice,,,
go,,,
abroad,,,
intended,,,
remembered,,,
having,,,
won,,,
either,,,
wants,,,
read,,,
s,,,
story,,,
also,,,
wanted,,,
invite,,,
someone,,,
but,,,
we,,,
couldn,,,
decide,,,
who,,,
Joe,,,
Holly,,,
claimed,,,
eating,,,
cabbage,,,
shouldn,,,
came,,,
introduced,,,
bartender,,,
work,,,
on,,,
neuroses,,,
bother,,,
patrons,,,
too,,,
know,,,
which,,,
José,,,
for,,,
class,,,
Lilly,,,
This,,,
reviewed,,,
this,,,
one,,,
do,,,
Mag,,,
hadn,,,
report,,,
m,,,
sure,,,
fruit,,,
cookies,,,
Rusty,,,
talked,,,
about,,,
himself,,,
only,,,
after,,,
talk,,,
everything,,,
before,,,
something,,,
often,,,
meets,,,
problem,,,
perceives,,,
easily,,,
A,,,
hundred,,,
surrounded,,,
fort,,,
elected,,,
me,,,
Which,,,
incompetent,,,
submit,,,
always,,,
preferred,,,
lemons,,,
limes,,,
let,,,
cats,,,
were,,,
whining,,,
buy,,,
saw,,,
walking,,,
toward,,,
railroad,,,
station,,,
proof,,,
claim,,,
given,,,
lied,,,
attributed,,,
short,,,
circuit,,,
caused,,,
an,,,
overloaded,,,
transducer,,,
fire,,,
destroyed,,,
factory,,,
mayor,,,
regarded,,,
being,,,
absurd,,,
proposal,,,
build,,,
sidewalk,,,
Dartmouth,,,
Smith,,,
left,,,
remain,,,
secret,,,
man,,,
Tom,,,
drives,,,
Drowning,,,
against,,,
law,,,
hard,,,
rescue,,,
Muriel,,,
nothing,,,
else,,,
insulted,,,
Himself,,,
understood,,,
Rutherford,,,
feel,,,
Arch,,,
show,,,
set,,,
recursive,,,
difficult,,,
madrigals,,,
Henry,,,
lute,,,
sings,,,
sound,,,
lousy,,,
picked,,,
these,,,
grapes,,,
washed,,,
some,,,
turnips,,,
Suzie,,,
prepare,,,
Where,,,
ate,,,
what,,,
elect,,,
guardian,,,
employer,,,
president,,,
How,,,
sane,,,
Peter,,,
live,,,
where,,,
Route,,,
150,,,
crosses,,,
River,,,
dad,,,
lives,,,
Hudson,,,
trying,,,
make,,,
now,,,
Wind,,,
gotten,,,
plot,,,
negotiate,,,
honorable,,,
end,,,
war,,,
Vietnam,,,
Mike,,,
politics,,,
yesterday,,,
friends,,,
expected,,,
reporters,,,
principal,,,
teacher,,,
hat,,,
quip,,,
wore,,,
girl,,,
donated,,,
wire,,,
convicts,,,
cages,,,
with,,,
money,,,
Do,,,
somebody,,,
looking,,,
ask,,,
force,,,
her,,,
any,,,
That,,,
Sam,,,
sometimes,,,
sleep,,,
must,,,
pleased,,,
Winston,,,
fuzz,,,
worried,,,
worry,,,
ll,,,
if,,,
Here,,,
knife,,,
cut,,,
onions,,,
Fluffy,,,
everybody,,,
knows,,,
Maxwell,,,
quite,,,
doctor,,,
younger,,,
woman,,,
might,,,
tall,,,
older,,,
definitely,,,
blond,,,
may,,,
Sheila,,,
try,,,
finish,,,
grading,,,
papers,,,
socks,,,
ready,,,
put,,,
planned,,,
easy,,,
play,,,
sonatas,,,
My,,,
mother,,,
please,,,
father,,,
Poor,,,
started,,,
rain,,,
no,,,
umbrella,,,
cops,,,
spoke,,,
janitor,,,
terrible,,,
robbery,,,
student,,,
wears,,,
swinger,,,
binoculars,,,
allege,,,
Roger,,,
anything,,,
Nobody,,,
delicatessen,,,
Everybody,,,
around,,,
here,,,
ever,,,
buys,,,
credit,,,
remember,,,
name,,,
misgivings,,,
No,,,
writer,,,
playwright,,,
Vienna,,,
nor,,,
marry,,,
certain,,,
Felicia,,,
kicked,,,
off,,,
bench,,,
sent,,,
package,,,
halfway,,,
world,,,
basket,,,
offered,,,
Park,,,
Square,,,
festive,,,
air,,,
worker,,,
job,,,
forgive,,,
comment,,,
launched,,,
rocket,,,
moon,,,
blew,,,
there,,,
Sarah,,,
promised,,,
Catherine,,,
old,,,
car,,,
then,,,
son,,,
instead,,,
lent,,,
partway,,,
Tony,,,
farmer,,,
loaded,,,
cart,,,
apples,,,
dumped,,,
Martha,,,
carved,,,
baby,,,
toy,,,
wood,,,
bread,,,
cuts,,,
Janet,,,
broke,,,
finger,,,
cup,,,
visitor,,,
rang,,,
bell,,,
pulled,,,
movie,,,
shocks,,,
Sharon,,,
room,,,
acorn,,,
grow,,,
into,,,
oak,,,
turned,,,
frog,,,
mixed,,,
sugar,,,
butter,,,
Brian,,,
threw,,,
fence,,,
stick,,,
Mira,,,
condemned,,,
Terry,,,
accident,,,
investigated,,,
area,,,
bombs,,,
sensed,,,
eagerness,,,
praised,,,
dedication,,,
volunteers,,,
earth,,,
believed,,,
round,,,
smiled,,,
charming,,,
smile,,,
Sandra,,,
beamed,,,
cheerful,,,
welcome,,,
ve,,,
really,,,
lived,,,
Paperback,,,
books,,,
lift,,,
onto,,,
table,,,
lifted,,,
Jessica,,,
boxes,,,
under,,,
wagon,,,
crammed,,,
truck,,,
Lora,,,
buttered,,,
toast,,,
Carla,,,
shoveled,,,
walk,,,
Nora,,,
slid,,,
Amanda,,,
carried,,,
Pamela,,,
Packages,,,
drive,,,
New,,,
York,,,
chair,,,
pushed,,,
Brown,,,
presented,,,
plaque,,,
Jones,,,
Carmen,,,
bought,,,
dress,,,
obtained,,,
spare,,,
part,,,
