,annotator,label,stars,sentence1
0,gj04,1,, 
1,gj04,1,, 
2,gj04,1,, 
3,gj04,1,, 
4,gj04,1,, 
5,gj04,1,, 
6,gj04,1,, 
7,gj04,1,, 
8,gj04,1,, 
9,gj04,1,, 
10,gj04,1,, 
11,gj04,1,, 
12,gj04,1,, 
13,gj04,1,, 
14,gj04,1,, 
15,gj04,1,, 
16,gj04,1,, 
17,gj04,1,, 
18,gj04,0,*, 
19,gj04,1,, 
20,gj04,0,*, 
21,gj04,1,, 
22,gj04,0,*, 
23,gj04,0,*, 
24,gj04,1,, 
25,gj04,0,*, 
26,gj04,0,*, 
27,gj04,1,, 
28,gj04,1,, 
29,gj04,1,, 
30,gj04,1,, 
31,gj04,1,, 
32,gj04,1,, 
33,gj04,1,, 
34,gj04,1,, 
35,gj04,1,, 
36,gj04,1,, 
37,gj04,1,, 
38,gj04,1,, 
39,gj04,1,, 
40,gj04,0,*, 
41,gj04,0,*, 
42,gj04,0,*, 
43,gj04,1,, 
44,gj04,1,, 
45,gj04,1,, 
46,gj04,1,, 
47,gj04,1,, 
48,gj04,0,*, 
49,gj04,0,*, 
50,gj04,1,, 
51,gj04,1,, 
52,gj04,1,, 
53,gj04,1,, 
54,gj04,0,*, 
55,gj04,1,, 
56,gj04,1,, 
57,gj04,0,*, 
58,gj04,1,, 
59,gj04,1,, 
60,gj04,1,, 
61,gj04,0,*, 
62,gj04,0,*, 
63,gj04,0,*, 
64,gj04,1,, 
65,gj04,0,*?, 
66,gj04,0,*?, 
67,gj04,1,, 
68,gj04,1,, 
69,gj04,1,, 
70,gj04,1,, 
71,gj04,1,, 
72,gj04,1,, 
73,gj04,1,, 
74,gj04,1,, 
75,gj04,1,, 
76,gj04,1,, 
77,gj04,1,, 
78,gj04,0,*, 
79,gj04,1,, 
80,gj04,1,, 
81,gj04,1,, 
82,gj04,1,, 
83,gj04,0,*, 
84,gj04,1,, 
85,gj04,0,*, 
86,gj04,0,*, 
87,gj04,1,, 
88,gj04,1,, 
89,gj04,1,, 
90,gj04,1,, 
91,gj04,1,, 
92,gj04,1,, 
93,gj04,1,, 
94,gj04,1,, 
95,gj04,0,*, 
96,gj04,1,, 
97,gj04,1,, 
98,gj04,1,, 
99,cj99,1,, 
100,cj99,1,, 
101,cj99,1,, 
102,cj99,1,, 
103,cj99,0,*, 
104,cj99,1,, 
105,cj99,1,, 
106,cj99,1,, 
107,cj99,1,, 
108,cj99,1,, 
109,cj99,1,, 
110,cj99,1,, 
111,cj99,1,, 
112,cj99,1,, 
113,cj99,0,*, 
114,cj99,1,, 
115,cj99,0,*, 
116,cj99,1,, 
117,cj99,0,*, 
118,cj99,0,*, 
119,cj99,1,, 
120,cj99,0,*, 
121,cj99,1,, 
122,cj99,1,, 
123,cj99,0,*, 
124,cj99,1,, 
125,cj99,1,, 
126,cj99,0,*, 
127,cj99,0,*, 
128,cj99,1,, 
129,cj99,1,, 
130,cj99,0,*, 
131,cj99,0,*, 
132,cj99,1,, 
133,cj99,1,, 
134,cj99,1,, 
135,cj99,1,, 
136,cj99,0,??, 
137,cj99,1,, 
138,cj99,0,*, 
139,cj99,1,, 
140,cj99,0,*, 
141,cj99,0,*, 
142,cj99,0,*, 
143,cj99,0,*, 
144,cj99,0,*, 
145,cj99,0,*, 
146,cj99,0,*, 
147,cj99,0,*, 
148,cj99,0,*, 
149,cj99,1,, 
150,cj99,1,, 
151,cj99,0,*, 
152,cj99,0,?*, 
153,cj99,0,?*, 
154,cj99,0,*, 
155,cj99,0,*, 
156,cj99,1,, 
157,cj99,1,, 
158,cj99,1,, 
159,cj99,1,, 
160,cj99,1,, 
161,cj99,1,, 
162,cj99,0,*, 
163,cj99,1,, 
164,cj99,1,, 
165,cj99,1,, 
166,cj99,1,, 
167,cj99,1,, 
168,cj99,0,*, 
169,cj99,0,*, 
170,cj99,1,, 
171,cj99,0,*, 
172,cj99,1,, 
173,cj99,0,*, 
174,cj99,1,, 
175,cj99,1,, 
176,cj99,1,, 
177,cj99,1,, 
178,cj99,1,, 
179,cj99,0,*, 
180,cj99,1,, 
181,cj99,1,, 
182,cj99,0,*, 
183,cj99,1,, 
184,cj99,0,*, 
185,cj99,0,*, 
186,cj99,0,*, 
187,cj99,0,*, 
188,cj99,0,*, 
189,cj99,1,, 
190,cj99,0,*, 
191,cj99,1,, 
192,cj99,0,*, 
193,cj99,1,, 
194,cj99,0,*, 
195,cj99,1,, 
196,cj99,1,, 
197,cj99,0,*, 
198,cj99,0,*, 
199,cj99,0,*, 
200,cj99,0,*, 
201,cj99,0,*, 
202,cj99,0,*, 
203,cj99,1,, 
204,cj99,0,*, 
205,cj99,1,, 
206,cj99,0,*, 
207,cj99,1,, 
208,cj99,1,, 
209,cj99,1,, 
210,cj99,1,, 
211,cj99,1,, 
212,cj99,1,, 
213,cj99,1,, 
214,cj99,1,, 
215,cj99,1,, 
216,cj99,0,*, 
217,cj99,1,, 
218,cj99,1,, 
219,cj99,0,*, 
220,cj99,0,*, 
221,cj99,0,*, 
222,cj99,1,, 
223,cj99,1,, 
224,cj99,1,, 
225,cj99,1,, 
226,cj99,1,, 
227,cj99,1,, 
228,cj99,1,, 
229,cj99,1,, 
230,cj99,1,, 
231,cj99,0,*, 
232,cj99,0,*, 
233,cj99,1,, 
234,cj99,1,, 
235,cj99,1,, 
236,cj99,1,, 
237,cj99,1,, 
238,cj99,1,, 
239,cj99,1,, 
240,cj99,1,, 
241,cj99,1,, 
242,cj99,0,*, 
243,cj99,0,*, 
244,cj99,0,*, 
245,cj99,1,, 
246,cj99,1,, 
247,cj99,1,, 
248,cj99,0,*, 
249,cj99,0,*, 
250,cj99,1,, 
251,cj99,1,, 
252,cj99,1,, 
253,cj99,1,, 
254,cj99,0,*, 
255,cj99,1,, 
256,cj99,0,*, 
257,cj99,1,, 
258,cj99,0,*, 
259,cj99,1,, 
260,cj99,1,, 
261,cj99,1,, 
262,cj99,1,, 
263,cj99,1,, 
264,cj99,0,*, 
265,cj99,1,, 
266,cj99,1,, 
267,cj99,0,*, 
268,cj99,1,, 
269,cj99,1,, 
270,cj99,0,*, 
271,cj99,0,*, 
272,cj99,0,*, 
273,cj99,1,, 
274,cj99,1,, 
275,cj99,0,*, 
276,cj99,1,, 
277,cj99,1,, 
278,cj99,0,*, 
279,cj99,0,*, 
280,cj99,1,, 
281,cj99,1,, 
282,cj99,1,, 
283,cj99,0,*, 
284,cj99,0,*, 
285,cj99,0,*, 
286,cj99,0,*, 
287,cj99,1,, 
288,cj99,1,, 
289,cj99,1,, 
290,cj99,1,, 
291,cj99,1,, 
292,cj99,1,, 
293,cj99,0,?*, 
294,cj99,0,*, 
295,cj99,0,*, 
296,cj99,0,*, 
297,cj99,0,*, 
298,cj99,0,*, 
299,cj99,1,, 
300,cj99,1,, 
301,cj99,0,??, 
302,cj99,0,??, 
303,cj99,0,??, 
304,cj99,1,, 
305,cj99,0,??, 
306,cj99,0,??, 
307,cj99,0,??, 
308,cj99,0,??, 
309,bc01,1,, 
310,bc01,1,, 
311,bc01,1,, 
312,bc01,1,, 
313,bc01,1,, 
314,bc01,1,, 
315,bc01,1,, 
316,bc01,1,, 
317,bc01,1,, 
318,bc01,0,*, 
319,bc01,0,*, 
320,bc01,1,, 
321,bc01,0,*, 
322,bc01,1,, 
323,bc01,1,, 
324,bc01,0,*, 
325,bc01,1,, 
326,bc01,1,, 
327,bc01,1,, 
328,bc01,1,, 
329,bc01,1,, 
330,bc01,1,, 
331,bc01,1,, 
332,bc01,1,, 
333,bc01,1,, 
334,bc01,0,*, 
335,bc01,0,*, 
336,bc01,1,, 
337,bc01,1,, 
338,bc01,1,, 
339,bc01,1,, 
340,bc01,1,, 
341,bc01,1,, 
342,bc01,1,, 
343,bc01,1,, 
344,bc01,0,*, 
345,bc01,1,, 
346,bc01,0,*, 
347,bc01,0,*, 
348,bc01,1,, 
349,bc01,0,*, 
350,bc01,1,, 
351,bc01,1,, 
352,bc01,0,*, 
353,bc01,1,, 
354,bc01,1,, 
355,bc01,0,?*, 
356,bc01,1,, 
357,bc01,0,*, 
358,bc01,1,, 
359,bc01,0,*, 
360,bc01,0,*, 
361,bc01,0,??, 
362,bc01,1,, 
363,bc01,1,, 
364,bc01,1,, 
365,bc01,1,, 
366,bc01,1,, 
367,bc01,1,, 
368,bc01,0,*, 
369,bc01,1,, 
370,bc01,1,, 
371,bc01,1,, 
372,bc01,1,, 
373,bc01,1,, 
374,bc01,1,, 
375,bc01,1,, 
376,bc01,0,*, 
377,bc01,1,, 
378,bc01,1,, 
379,bc01,0,*, 
380,bc01,1,, 
381,bc01,1,, 
382,bc01,1,, 
383,bc01,0,*, 
384,bc01,1,, 
385,bc01,1,, 
386,bc01,1,, 
387,bc01,1,, 
388,bc01,1,, 
389,bc01,1,, 
390,bc01,1,, 
391,bc01,0,*, 
392,bc01,0,*, 
393,bc01,1,, 
394,bc01,1,, 
395,bc01,1,, 
396,bc01,0,*, 
397,bc01,0,*, 
398,bc01,0,*, 
399,bc01,1,, 
400,bc01,0,??, 
401,bc01,0,*, 
402,bc01,0,*, 
403,bc01,1,, 
404,bc01,1,, 
405,bc01,1,, 
406,bc01,1,, 
407,bc01,1,, 
408,bc01,1,, 
409,bc01,1,, 
410,bc01,1,, 
411,bc01,0,*, 
412,bc01,0,*, 
413,bc01,0,*, 
414,bc01,0,*, 
415,bc01,1,, 
416,bc01,0,*, 
417,bc01,0,*, 
418,bc01,0,*, 
419,bc01,1,, 
420,bc01,1,, 
421,bc01,0,*, 
422,bc01,0,*, 
423,bc01,1,, 
424,bc01,1,, 
425,bc01,0,*, 
426,bc01,1,, 
427,bc01,1,, 
428,bc01,1,, 
429,bc01,1,, 
430,bc01,0,*, 
431,bc01,0,*, 
432,bc01,1,, 
433,bc01,1,, 
434,bc01,1,, 
435,bc01,0,*, 
436,bc01,1,, 
437,bc01,1,, 
438,bc01,1,, 
439,bc01,1,, 
440,bc01,0,*, 
441,bc01,1,, 
442,bc01,0,*, 
443,bc01,1,, 
444,bc01,0,*, 
445,bc01,1,, 
446,bc01,0,*, 
447,bc01,1,, 
448,bc01,0,*, 
449,bc01,0,??, 
450,bc01,0,??, 
451,bc01,1,, 
452,bc01,1,, 
453,bc01,1,, 
454,bc01,0,*, 
455,bc01,0,*, 
456,bc01,1,, 
457,bc01,1,, 
458,bc01,1,, 
459,bc01,1,, 
460,bc01,0,*, 
461,bc01,1,, 
462,bc01,1,, 
463,bc01,1,, 
464,bc01,0,*, 
465,bc01,1,, 
466,bc01,0,*, 
467,bc01,1,, 
468,bc01,1,, 
469,bc01,1,, 
470,bc01,1,, 
471,bc01,1,, 
472,bc01,1,, 
473,bc01,1,, 
474,bc01,0,?*, 
475,bc01,1,, 
476,bc01,1,, 
477,bc01,1,, 
478,bc01,1,, 
479,bc01,1,, 
480,bc01,1,, 
481,bc01,1,, 
482,bc01,1,, 
483,bc01,1,, 
484,bc01,1,, 
485,bc01,1,, 
486,bc01,1,, 
487,bc01,1,, 
488,bc01,0,*, 
489,bc01,1,, 
490,bc01,1,, 
491,bc01,1,, 
492,bc01,1,, 
493,bc01,0,*, 
494,bc01,0,*, 
495,bc01,0,*, 
496,bc01,0,*, 
497,bc01,1,, 
498,bc01,1,, 
499,bc01,1,, 
500,bc01,0,*, 
501,bc01,0,*, 
502,bc01,1,, 
503,bc01,0,*, 
504,bc01,0,*, 
505,bc01,1,, 
506,bc01,1,, 
507,bc01,1,, 
508,bc01,1,, 
509,bc01,1,, 
510,bc01,1,, 
511,bc01,1,, 
512,bc01,1,, 
513,bc01,0,*, 
514,bc01,1,, 
515,bc01,0,*, 
516,bc01,1,, 
517,bc01,1,, 
518,bc01,1,, 
519,bc01,1,, 
520,bc01,1,, 
521,bc01,1,, 
522,bc01,1,, 
523,bc01,1,, 
524,bc01,1,, 
525,bc01,0,*, 
526,bc01,0,*, 
527,bc01,0,*, 
528,bc01,1,, 
529,bc01,1,, 
530,bc01,1,, 
531,bc01,1,, 
532,bc01,1,, 
533,bc01,0,*, 
534,bc01,0,*, 
535,bc01,1,, 
536,bc01,0,*, 
537,bc01,0,*, 
538,bc01,0,*, 
539,bc01,1,, 
540,bc01,1,, 
541,bc01,0,*, 
542,bc01,1,, 
543,bc01,1,, 
544,bc01,1,, 
545,bc01,1,, 
546,bc01,1,, 
547,bc01,1,, 
548,bc01,1,, 
549,bc01,1,, 
550,bc01,1,, 
551,bc01,1,, 
552,bc01,1,, 
553,bc01,1,, 
554,bc01,1,, 
555,bc01,1,, 
556,bc01,1,, 
557,bc01,1,, 
558,bc01,1,, 
559,bc01,1,, 
560,bc01,1,, 
561,bc01,1,, 
562,bc01,1,, 
563,bc01,1,, 
564,bc01,1,, 
565,bc01,1,, 
566,bc01,1,, 
567,bc01,1,, 
568,bc01,1,, 
569,bc01,1,, 
570,bc01,1,, 
571,bc01,1,, 
572,bc01,1,, 
573,bc01,1,, 
574,bc01,1,, 
575,bc01,1,, 
576,bc01,1,, 
577,bc01,1,, 
578,bc01,0,*, 
579,bc01,1,, 
580,bc01,1,, 
581,bc01,0,*, 
582,bc01,0,*, 
583,bc01,0,*, 
584,bc01,1,, 
585,bc01,0,*, 
586,bc01,1,, 
587,bc01,0,*, 
588,bc01,0,*, 
589,bc01,0,*, 
590,bc01,1,, 
591,bc01,0,*, 
592,bc01,1,, 
593,bc01,1,, 
594,bc01,0,*, 
595,bc01,1,, 
596,bc01,1,, 
597,bc01,1,, 
598,bc01,0,*, 
599,bc01,1,, 
600,bc01,0,*, 
601,bc01,0,*, 
602,bc01,1,, 
603,bc01,0,*, 
604,bc01,1,, 
605,bc01,1,, 
606,bc01,0,*, 
607,bc01,1,, 
608,bc01,1,, 
609,bc01,1,, 
610,bc01,1,, 
611,bc01,1,, 
612,bc01,1,, 
613,bc01,1,, 
614,bc01,1,, 
615,bc01,1,, 
616,bc01,1,, 
617,bc01,1,, 
618,bc01,1,, 
619,bc01,1,, 
620,bc01,0,*, 
621,bc01,1,, 
622,bc01,1,, 
623,bc01,1,, 
624,bc01,1,, 
625,bc01,1,, 
626,bc01,1,, 
627,bc01,1,, 
628,bc01,1,, 
629,bc01,0,*, 
630,bc01,1,, 
631,bc01,1,, 
632,bc01,1,, 
633,bc01,1,, 
634,bc01,0,*, 
635,bc01,0,*, 
636,bc01,1,, 
637,bc01,0,*, 
638,bc01,1,, 
639,bc01,0,*, 
640,bc01,1,, 
641,bc01,0,*, 
642,bc01,1,, 
643,bc01,0,*, 
644,bc01,1,, 
645,bc01,0,*, 
646,bc01,1,, 
647,bc01,0,*, 
648,bc01,0,*, 
649,bc01,1,, 
650,bc01,1,, 
651,bc01,1,, 
652,bc01,1,, 
653,bc01,1,, 
654,bc01,1,, 
655,bc01,1,, 
656,bc01,1,, 
657,bc01,1,, 
658,bc01,1,, 
659,bc01,0,*, 
660,bc01,1,, 
661,bc01,1,, 
662,bc01,1,, 
663,bc01,1,, 
664,bc01,1,, 
665,bc01,1,, 
666,bc01,1,, 
667,bc01,1,, 
668,bc01,1,, 
669,bc01,1,, 
670,bc01,1,, 
671,bc01,1,, 
672,bc01,1,, 
673,bc01,1,, 
674,bc01,1,, 
