,annotator,label,stars,sentence1
0,gj04,1,,"next friends, we'propose this the one alone. Our t won let buy analysis"
1,gj04,1,,.ization pseudo and One'general m I up more giving
2,gj04,1,,or One up I'general giving pseudo more. mization
3,gj04,1,,"get we. theyier more studyraz The the, c verbs"
4,gj04,1,,theur are facts. getting m Daykie day byr
5,gj04,1,,you a I. ll'drink fix
6,gj04,1,,Fred flat water the. plantsed
7,gj04,1,,his of. Bill coughed out restaurant the way
8,gj04,1,,dancing'We. night the re away
9,gj04,1,,hammer Herman the. flat metaled
10,gj04,1,,off the play critics laughed the stage. The
11,gj04,1,,The pond solid. froze
12,gj04,1,,of the rolled Bill out room.
13,gj04,1,,garden. theered flat water flowers The
14,gj04,1,,. water flowers The the gardenered
15,gj04,1,,Bill the bath piecestub broke into.
16,gj04,1,,the broke bathtub. Bill
17,gj04,1,,the dry pub They. drank
18,gj04,0,*,pub They drank the.
19,gj04,1,,a into The us professor s.por talkedtu
20,gj04,0,*,The professor. us talked
21,gj04,1,,ourselves yelled. We hoarse
22,gj04,0,*,yelled We ourselves.
23,gj04,0,*,We yelled Harry. hoarse
24,gj04,1,,coughed himself. Harry into a fit
25,gj04,0,*,. coughed himself Harry
26,gj04,0,*,fit into us a. coughed Harry
27,gj04,1,,Bill followed into. the forest the road
28,gj04,1,,SF SD drove from to We Highway 5.
29,gj04,1,,its leak. tracked source to the Fred
30,gj04,1,,room dancedes wa acrossltz. John the
31,gj04,1,,##rina the.ted Bill u out window
32,gj04,1,,Bill coughed window. the out
33,gj04,1,,the.led b floor Bill on
34,gj04,1,,toilet floor into the. leaked through kitchen the below The
35,gj04,1,,Bill the floor off. ate
36,gj04,1,,from hose. drank Bill the
37,gj04,1,,hammer This metal. easilys flat
38,gj04,1,,made president him They.
39,gj04,1,,They angry made him.
40,gj04,0,*,to by They become caused angry him. him making
41,gj04,0,*,making to by him They caused president him become.
42,gj04,0,*,him made They to exhaustion.
43,gj04,1,,made They into him a monster.
44,gj04,1,,through The. trolley the tunnel rumbled
45,gj04,1,,The wagon down rumbled. the road
46,gj04,1,,. the Thed past bullets whistle house
47,gj04,1,,The candidate the up stairs replacement knee. groaned
48,gj04,0,*,ho road The car downnk. theed
49,gj04,0,*,The barked dog the. of out room
50,gj04,1,,barked way room of its out. The the dog
51,gj04,1,,##d past house way. his the Bill whistle
52,gj04,1,,vanished witch into forest the. The
53,gj04,1,,. road Bill disappeared down the
54,gj04,0,*,forest The witch went. byishing van the into
55,gj04,1,,witch vanished the and The into forest went. thereby
56,gj04,1,,and wide The is tall building.
57,gj04,0,*,The building and tall. tall is
58,gj04,1,,and. that one is building This than wider taller
59,gj04,1,,one This wider taller and got. building that than
60,gj04,1,,taller. and building This taller got
61,gj04,0,*,building is This taller taller. and
62,gj04,0,*,than that one This. building got
63,gj04,0,*,one This. than is that building
64,gj04,1,,cave Bill. the floated into
65,gj04,0,*?,. floated into hours cave the Bill for
66,gj04,0,*?,Harry sofa Bill the off pushed for hours.
67,gj04,1,,hours river down floated for. Bill the
68,gj04,1,,Bill down the river. floated
69,gj04,1,,pushed Bill along. the Harry trail for hours
70,gj04,1,,. the pushed Bill Harry along trail
71,gj04,1,,. thezaig hill road z Thegged down
72,gj04,1,,. rope the over Theey pull stretched
73,gj04,1,,rope The stretchedey over pull weights the the.
74,gj04,1,,pull the The. stretched kept rope over theey weights
75,gj04,1,,himself Sam. free cut
76,gj04,1,,. got cutting finger his free by Sam
77,gj04,1,,to himself. cried sleep Bill
78,gj04,0,*,sleep. to cried Sue Bill
79,gj04,1,,Bill squeezed the through himself. hole
80,gj04,1,,himself. to sang Bill sleep
81,gj04,1,,puppet squeezed the the. Bill hole through
82,gj04,1,,. sleep sang Bill to Sue
83,gj04,0,*,ground to the itself rumbled The elevator.
84,gj04,1,,"If the it. itself rang ring, could telephone silly"
85,gj04,0,*,She. hoarse yelled
86,gj04,0,*,. Ted to cried sleep
87,gj04,1,,. tiger The death to bled
88,gj04,1,,"were, especially coughed. awake Sierra alljoy and overed we He"
89,gj04,1,,"., his under John coughed rubbing awake and his cursing breath nose"
90,gj04,1,,coughed had their he on play of awake himself Bill lake the the where. John and bank
91,gj04,1,,yawned Ron awake. himself
92,gj04,1,,the She awake nose her. landed leaf on coughed as herself
93,gj04,1,,onto wgled. The carpet the wormrig
94,gj04,1,,the carpet melted onto The chocolate.
95,gj04,0,*,##gled. looserig ball The w itself
96,gj04,1,,. Bill wgled looserig himself
97,gj04,1,,Ali herrig. loosezagled w tooth
98,gj04,1,,itself. The center off shook fly spinning loosewheel
99,cj99,1,,"more eat less you,. the you The want"
100,cj99,1,,"If. you eat,ly less you more corresponding want"
101,cj99,1,,". you less When want more corresponding youly eat,"
102,cj99,1,,"you As more., eat corresponding less want youly"
103,cj99,0,*,"least The. want you most, eat you the"
104,cj99,1,,".s admire, anrier The getsg Sue Fred her the more"
105,cj99,1,,"eat you the want. that less The, more you that"
106,cj99,1,,"##g an gets admire more Fred hers the that The Sue,.rier that"
107,cj99,1,,"eat less that the more want, think I. you you the"
108,cj99,1,,", not idea you want the that the shocked'the you eat m more less. I by"
109,cj99,1,,"obvious you is It the less,. want that the you more eat"
110,cj99,1,,"It, clear you. less if is more you want the the eat not entirely"
111,cj99,1,,"the want exactly why eat the explain I, you want. more you to less"
112,cj99,1,,"more eats pays he, the. demand more John the that I"
113,cj99,0,*,"pay he I more eat more that the John the., demand"
114,cj99,1,,"he. the John more more demand pay I that eats,"
115,cj99,0,*,"more. he demand eat more the pays I, that John"
116,cj99,1,,"don eat get'the you, more werierg,. You t an"
117,cj99,0,*,"You eat ang the don we,'werier more, t. get"
118,cj99,0,*,"much? faster river that has rain flow it howed The in appears harder the a,"
119,cj99,1,,"how much harder The it a has faster the flow in, rain?ed appears river"
120,cj99,0,*,"faster harder rains much run The it do how you,? that"
121,cj99,1,,"? it do rains much run harder The how faster, you"
122,cj99,1,,"see river rains? harder it faster flow in do The how the, you a much"
123,cj99,0,*,"a much river The it in flow you harder the see rains how?, do that faster"
124,cj99,1,,"faster When? flow appears the, much river rains in a it harder how"
125,cj99,1,,"? harder rains flow how As, faster river in the it a much appears"
126,cj99,0,*,"appears? in it As much river, rains a harder faster flow how the that"
127,cj99,0,*,"river that harder? When flow it in much rains a how, the faster appears"
128,cj99,1,,"the it faster theed you has see a rain river? much How in flow, harder"
129,cj99,1,,"see much has flow ined How when rain a river it the? you, harder faster"
130,cj99,0,*,"it more eats mouth, John keep tighter your the. The shut about"
131,cj99,0,*,"OK,? The eat, his mouth more everyone the it shut big keeps about more John"
132,cj99,1,,"? eats OK, keep mouth your When more shut tighter, John"
133,cj99,1,,"your mouth more OK As John,?, tighter eats shut keep"
134,cj99,1,,", the mouth shut tighter? OK your Keep more, John eats"
135,cj99,1,,"eats OK more John tighter Everyone mouth, keep the, your? shut"
136,cj99,0,??,"can. theter eating the, imagine fat getting him him well I more"
137,cj99,1,,can Bill well fat getting. imagine
138,cj99,0,*,"getting more. eats, can well Bill the imagineter he fat the"
139,cj99,1,,"well. the imagine Fred getting Joe fat he eats canter more,"
140,cj99,0,*,". be the the eat It careful, is more to more you important"
141,cj99,0,*,"important for eat more the to careful be,. It more the you is"
142,cj99,0,*,"eat is you to important be the, It more careful more to. the"
143,cj99,0,*,"the eat the., to you be important more It you more careful is"
144,cj99,0,*,"It eat the more you, you careful important. is to more be for the"
145,cj99,0,*,"to for important eat, It be you the the. more more to careful is"
146,cj99,0,*,"more be is eat the important to It for, for. to you you careful the more"
147,cj99,0,*,"more eat It the to is the for you important you, more careful. to be"
148,cj99,0,*,"eat to you It you more the. for, careful be more important the is"
