,Unnamed: 0,count,hate_speech,offensive_language,neither,label,sentence1
0,0,3,0,0,3,2, 
1,1,3,0,3,0,1,hoe
2,2,3,0,3,0,1,fuck  bitch
3,3,3,0,2,1,1, 
4,4,6,0,6,0,1,bitch
5,5,3,1,2,0,1,fucking  hoes
6,6,3,0,3,0,1,bitch
7,7,3,0,3,0,1,bitches
8,8,3,0,3,0,1,bitch
9,9,3,1,2,0,1, 
10,10,3,0,3,0,1,bitch
11,11,3,0,3,0,1,bitch
12,12,3,0,2,1,1,hoes
13,13,3,0,3,0,1,bitches
14,14,3,1,2,0,1,bitch
15,15,3,0,3,0,1,bitch nigga
16,16,3,0,3,0,1,bitch
17,17,3,1,2,0,1,bitch
18,18,3,0,3,0,1,bitches
19,19,3,0,3,0,1,bitch
20,20,3,0,3,0,1,bitch
21,21,3,0,3,0,1,bitch
22,22,3,0,3,0,1,hoes
23,23,3,0,3,0,1,fuck   bitch            fuck
24,24,3,0,3,0,1,bitch
25,25,3,0,2,1,1,pussy
26,26,3,0,3,0,1,hoe
27,27,3,0,3,0,1,pussy        pussy
28,28,3,0,3,0,1,bitch  fuck
29,29,3,0,3,0,1,bitch
30,30,3,0,3,0,1,bitch   bitch pussy
31,31,3,0,3,0,1,bitches
32,32,3,0,3,0,1,pussy nigga
33,33,3,0,3,0,1,pussy
34,34,3,0,3,0,1,bitches
35,35,3,0,3,0,1,bitch
36,36,3,0,3,0,1,bitch
37,37,3,0,3,0,1,bitches
38,38,3,0,2,1,1,hoes
39,39,3,0,3,0,1,hoes
40,40,3,0,1,2,2,pussy
41,41,3,0,3,0,1,hoes
42,42,3,0,3,0,1,hoe
43,43,3,0,3,0,1,hoes
44,44,3,0,3,0,1,pussy
45,45,3,0,3,0,1,pussy
46,46,3,0,3,0,1,pussy
47,47,3,0,3,0,1,pussy     fucked
48,48,3,0,3,0,1,bitches
49,49,3,1,2,0,1,hoes  niggas
50,50,3,1,2,0,1,niggas   bitches
51,51,3,0,3,0,1,niggas   hoes      bitches
52,52,3,0,3,0,1,bitches
53,53,3,0,3,0,1,bitches
54,54,3,0,2,1,1,hoes
55,55,3,0,3,0,1,niggas      bitches
56,56,3,0,3,0,1,bitch
57,57,3,0,3,0,1,hoe
58,58,3,0,3,0,1,bitch
59,59,3,0,3,0,1,fuck  bitches
60,60,3,0,2,1,1,bitch
61,61,3,0,3,0,1,fucking fag
62,62,3,0,3,0,1,pussy             pussy
63,63,3,0,0,3,2, 
64,64,3,0,3,0,1,bitch   bitches
65,65,3,0,3,0,1,bitch
66,66,3,0,1,2,2, 
67,67,3,0,1,2,2, 
68,68,3,0,3,0,1,bitch fuck
69,69,3,1,2,0,1,Fuck    bitch  niggah
70,70,3,0,0,3,2, 
71,71,3,0,3,0,1,bitch
72,72,3,0,3,0,1,pussy
73,73,3,0,3,0,1,bitch
74,74,3,1,2,0,1,fuck       faggots
75,75,3,0,1,2,2, 
76,76,3,0,3,0,1, 
77,77,3,1,2,0,1,nigga        pussy
78,78,3,0,3,0,1,bitches
79,79,3,1,2,0,1,nigga
80,80,9,0,7,2,1,pussy
81,81,3,0,3,0,1,Bitches      niggas         niggas   bitches
82,82,3,0,3,0,1,bitch
83,83,3,1,2,0,1,hoe
84,84,3,0,3,0,1,bitch
85,85,3,2,1,0,0, 
86,87,3,0,3,0,1,faggot
87,88,3,0,3,0,1,bitch
88,89,3,0,3,0,1,bitch
89,90,3,3,0,0,0,beaner
90,91,3,1,2,0,1,nigs
91,92,6,1,5,0,1,bitch
92,93,3,1,2,0,1,nigga    hoe       nigga
93,94,3,0,3,0,1,bitches
94,95,3,1,2,0,1,nig
95,96,3,0,3,0,1,hoes
96,97,3,0,3,0,1,fuck  bitch
97,98,3,0,3,0,1,retard
98,99,3,0,3,0,1,hoes
99,100,3,1,2,0,1,pussy
100,101,3,0,3,0,1,nigga
101,102,3,0,3,0,1, 
102,103,3,0,3,0,1,bitch
103,104,3,0,2,1,1,retard
104,105,3,0,3,0,1,hoe
105,106,3,0,3,0,1,hoes
106,107,3,0,3,0,1,Pussy  pussy
107,108,3,0,3,0,1,faggot
108,109,3,0,3,0,1,bitches            bitch
109,110,3,0,3,0,1,bitch
110,111,3,3,0,0,0,fucking   hoe
111,112,3,0,3,0,1,fuck     bitches
