,Unnamed: 0,count,hate_speech,offensive_language,neither,label,sentence1
0,0,3,0,0,3,2,  neutral
1,1,3,0,3,0,1,hoe negative
2,2,3,0,3,0,1,fuck  bitch negative
3,3,3,0,2,1,1,  neutral
4,4,6,0,6,0,1,bitch neutral
5,5,3,1,2,0,1,fucking  hoes negative
6,6,3,0,3,0,1,bitch negative
7,7,3,0,3,0,1,bitches negative
8,8,3,0,3,0,1,bitch neutral
9,9,3,1,2,0,1,  neutral
10,10,3,0,3,0,1,bitch positive
11,11,3,0,3,0,1,bitch neutral
12,12,3,0,2,1,1,hoes negative
13,13,3,0,3,0,1,bitches negative
14,14,3,1,2,0,1,bitch neutral
15,15,3,0,3,0,1,bitch nigga neutral
16,16,3,0,3,0,1,bitch neutral
17,17,3,1,2,0,1,bitch positive
18,18,3,0,3,0,1,bitches negative
19,19,3,0,3,0,1,bitch negative
20,20,3,0,3,0,1,bitch neutral
21,21,3,0,3,0,1,bitch neutral
22,22,3,0,3,0,1,hoes neutral
23,23,3,0,3,0,1,fuck   bitch            fuck negative
24,24,3,0,3,0,1,bitch neutral
25,25,3,0,2,1,1,pussy neutral
26,26,3,0,3,0,1,hoe neutral
27,27,3,0,3,0,1,pussy        pussy neutral
28,28,3,0,3,0,1,bitch  fuck negative
29,29,3,0,3,0,1,bitch neutral
30,30,3,0,3,0,1,bitch   bitch pussy positive
31,31,3,0,3,0,1,bitches positive
32,32,3,0,3,0,1,pussy nigga negative
33,33,3,0,3,0,1,pussy negative
34,34,3,0,3,0,1,bitches negative
35,35,3,0,3,0,1,bitch neutral
36,36,3,0,3,0,1,bitch neutral
37,37,3,0,3,0,1,bitches neutral
38,38,3,0,2,1,1,hoes negative
39,39,3,0,3,0,1,hoes positive
40,40,3,0,1,2,2,pussy neutral
41,41,3,0,3,0,1,hoes neutral
42,42,3,0,3,0,1,hoe neutral
43,43,3,0,3,0,1,hoes neutral
44,44,3,0,3,0,1,pussy neutral
45,45,3,0,3,0,1,pussy positive
46,46,3,0,3,0,1,pussy positive
47,47,3,0,3,0,1,pussy     fucked negative
48,48,3,0,3,0,1,bitches negative
49,49,3,1,2,0,1,hoes  niggas neutral
50,50,3,1,2,0,1,niggas   bitches neutral
51,51,3,0,3,0,1,niggas   hoes      bitches neutral
52,52,3,0,3,0,1,bitches positive
53,53,3,0,3,0,1,bitches positive
54,54,3,0,2,1,1,hoes positive
55,55,3,0,3,0,1,niggas      bitches positive
56,56,3,0,3,0,1,bitch neutral
57,57,3,0,3,0,1,hoe neutral
58,58,3,0,3,0,1,bitch neutral
59,59,3,0,3,0,1,fuck  bitches negative
60,60,3,0,2,1,1,bitch positive
61,61,3,0,3,0,1,fucking fag negative
62,62,3,0,3,0,1,pussy             pussy positive
63,63,3,0,0,3,2,  positive
64,64,3,0,3,0,1,bitch   bitches negative
65,65,3,0,3,0,1,bitch negative
66,66,3,0,1,2,2,  positive
67,67,3,0,1,2,2,  positive
68,68,3,0,3,0,1,bitch fuck neutral
69,69,3,1,2,0,1,Fuck    bitch  niggah negative
70,70,3,0,0,3,2,  positive
71,71,3,0,3,0,1,bitch positive
72,72,3,0,3,0,1,pussy neutral
73,73,3,0,3,0,1,bitch positive
74,74,3,1,2,0,1,fuck       faggots negative
75,75,3,0,1,2,2,  positive
76,76,3,0,3,0,1,  positive
77,77,3,1,2,0,1,nigga        pussy neutral
78,78,3,0,3,0,1,bitches positive
79,79,3,1,2,0,1,nigga negative
80,80,9,0,7,2,1,pussy neutral
81,81,3,0,3,0,1,Bitches      niggas         niggas   bitches negative
82,82,3,0,3,0,1,bitch neutral
83,83,3,1,2,0,1,hoe neutral
84,84,3,0,3,0,1,bitch positive
85,85,3,2,1,0,0,  neutral
86,87,3,0,3,0,1,faggot positive
87,88,3,0,3,0,1,bitch neutral
88,89,3,0,3,0,1,bitch neutral
89,90,3,3,0,0,0,beaner neutral
90,91,3,1,2,0,1,nigs positive
91,92,6,1,5,0,1,bitch neutral
92,93,3,1,2,0,1,nigga    hoe       nigga positive
93,94,3,0,3,0,1,bitches negative
94,95,3,1,2,0,1,nig positive
95,96,3,0,3,0,1,hoes neutral
96,97,3,0,3,0,1,fuck  bitch negative
97,98,3,0,3,0,1,retard negative
98,99,3,0,3,0,1,hoes neutral
99,100,3,1,2,0,1,pussy neutral
100,101,3,0,3,0,1,nigga negative
101,102,3,0,3,0,1,  negative
102,103,3,0,3,0,1,bitch positive
103,104,3,0,2,1,1,retard negative
104,105,3,0,3,0,1,hoe positive
105,106,3,0,3,0,1,hoes positive
